F,I
1258,1004.8125
1259,1086.25
1260,1221.3125
1261,1375.0625
1262,1438.1875
1263,1447.9375
1264,1452.3125
1265,1384.125
1266,1361.875
1267,1309.625
1268,1252.375
1269,1247.625
1270,1198
1271,1182.9375
1272,1159.5
1273,1038
1274,933.4375
1275,877.5625
1276,977.1875
1277,1105.125
1278,1250.75
1279,1376.75
1280,1447.6875
1281,1464.9375
1282,1453.0625
1283,1395.0625
1284,1352.125
1285,1309.9375
1286,1277.25
1287,1253.5
1288,1231.875
1289,1189.1875
1290,1153.625
1291,1072.8125
1292,950.1875
1293,938.0625
1294,1003.5
1295,1143.4375
1296,1226.625
1297,1380.125
1298,1422.0625
1299,1447.625
1300,1446.0625
1301,1382.625
1302,1346.3125
1303,1292
1304,1282.6875
1305,1244.75
1306,1228.3125
1307,1181.5625
1308,1146.875
1309,1046.0625
1310,942
1311,951.9375
1312,1078.625
1313,1209.375
1314,1316.875
1315,1402.25
1316,1436.75
1317,1430.0625
1318,1445.75
1319,1394.25
1320,1319.25
1321,1290.375
1322,1259.625
1323,1240.0625
1324,1195.4375
1325,1152.125
1326,1044.5625
1327,929.625
1328,850.4375
1329,941.1875
1330,1092.8125
1331,1212.8125
1332,1343.5625
1333,1387.0625
1334,1432.75
1335,1469.875
1336,1421.5
1337,1360.625
1338,1319.625
1339,1261.25
1340,1243.4375
1341,1206
1342,1192.125
1343,1162
1344,1162.875
1345,1134.875
1346,1122.5625
1347,1143.875
1348,1076.625
1349,1011.125
1350,841.25
1351,844.125
1352,920.9375
1353,1083.8125
1354,1224.375
1355,1384.375
1356,1426.25
1357,1436.75
1358,1456.5625
1359,1422.8125
1360,1366.6875
1361,1326.75
1362,1299.3125
1363,1241.25
1364,1212.3125
1365,1158.25
1366,1077.8125
1367,894.5625
1368,907.625
1369,988.1875
1370,1150.625
1371,1288.125
1372,1395.9375
1373,1439.125
1374,1474.875
1375,1462.9375
1376,1418.375
1377,1371.3125
1378,1289.9375
1379,1281.375
1380,1230.9375
1381,1234.5
1382,1192.375
1383,1182.5625
1384,1081.9375
1385,994.125
1386,838.4375
1387,915.6875
1388,1019.75
1389,1155.0625
1390,1288.125
1391,1362.25
1392,1473.4375
1393,1461.5625
1394,1425
1395,1369
1396,1346.375
1397,1301.8125
1398,1283.5
1399,1236.4375
1400,1237.125
1401,1200.3125
1402,1138.3125
1403,1037.9375
1404,848.9375
1405,903.1875
1406,983.375
1407,1116.25
1408,1271.6875
1409,1387.5
1410,1411.3125
1411,1449.0625
1412,1450.375
1413,1386.0625
1414,1351.3125
1415,1310.1875
1416,1265.75
1417,1237
1418,1197.5625
1419,1189.625
1420,1147.6875
1421,1099.3125
1422,997.3125
1423,844.75
1424,978.4375
1425,1075.4375
1426,1202.0625
1427,1334.1875
1428,1433.0625
1429,1469.25
1430,1462.8125
1431,1411.8125
1432,1354.1875
1433,1347.6875
1434,1268.6875
1435,1264.1875
1436,1256.8125
1437,1224.6875
1438,1158.125
1439,1116.875
1440,999.3125
1441,861.0625
1442,922
1443,1010.125
1444,1127.625
1445,1305.0625
1446,1383.9375
1447,1467.25
1448,1445.4375
1449,1457.1875
1450,1379.375
1451,1313.6875
1452,1293.625
1453,1215.6875
1454,1235.875
1455,1193.625
1456,1129.125
1457,1060
1458,949.3125
1459,869.4375
1460,971.25
1461,1107.875
1462,1260.9375
1463,1375.875
1464,1396.625
1465,1445.8125
1466,1438.875
1467,1393.4375
1468,1336.875
1469,1303.0625
1470,1241.5
1471,1235.625
1472,1197.5625
1473,1154.75
1474,1131.9375
1475,1072.9375
1476,935
1477,886.625
1478,951.875
1479,1104.25
1480,1264
1481,1368.9375
1482,1418.625
1483,1452.5
1484,1455.5
1485,1418.375
1486,1321.3125
1487,1309.0625
1488,1244.8125
1489,1210.8125
1490,1175.9375
1491,1172.375
1492,1114.625
1493,1035
1494,942.4375
1495,900.0625
1496,975.125
1497,1094.5625
1498,1243.1875
1499,1362.75
1500,1396.375
1501,1412.1875
1502,1420
1503,1390.5
1504,1345.5625
1505,1272.3125
1506,1221.875
1507,1232.4375
1508,1208.875
1509,1147.375
1510,1038.875
1511,964.875
1512,938.5
1513,1000.8125
1514,1120.8125
1515,1292.125
1516,1398.5
1517,1417.875
1518,1447.75
1519,1426
1520,1375.125
1521,1351.8125
1522,1289.6875
1523,1239.5
1524,1221.625
1525,1179.125
1526,1168.75
1527,1107.4375
1528,939.875
1529,852.25
1530,882.4375
1531,1029.875
1532,1167.5
1533,1299.125
1534,1399.5
1535,1426.75
1536,1439.5
1537,1422
1538,1345.4375
1539,1306.625
1540,1265.75
1541,1242.375
1542,1233.125
1543,1183.375
1544,1162.5
1545,1115.5
1546,1040
1547,900.6875
1548,909.125
1549,1002.25
1550,1122.6875
1551,1287.0625
1552,1404.9375
1553,1408.1875
1554,1457.75
1555,1410.875
1556,1377.5
1557,1340.4375
1558,1289.25
1559,1260.1875
1560,1232.375
1561,1154.625
1562,1162.375
1563,1088.1875
1564,927.0625
1565,866.5625
1566,922.1875
1567,1057.1875
1568,1186
1569,1309.0625
1570,1435.375
1571,1433.125
1572,1442.9375
1573,1403.0625
1574,1362.375
1575,1322.25
1576,1282.625
1577,1272.75
1578,1207.8125
1579,1178.875
1580,1145.3125
1581,1056
1582,913.8125
1583,890.4375
1584,1002.5625
1585,1150.0625
1586,1280.5625
1587,1378.5625
1588,1408.3125
1589,1459.875
1590,1439.5
1591,1401.8125
1592,1368.6875
1593,1292.8125
1594,1267
1595,1214
1596,1212.8125
1597,1162.1875
1598,1049.375
1599,904.625
1600,830.6875
1601,908.875
1602,1038.875
1603,1175.875
1604,1334.9375
1605,1395.375
1606,1458.8125
1607,1464.8125
1608,1427.375
1609,1364.4375
1610,1289.5625
1611,1272.125
1612,1252.25
1613,1198.5
1614,1151.875
1615,1104.8125
1616,997.625
1617,876.9375
1618,927.875
1619,1080.9375
1620,1244.625
1621,1393.4375
1622,1426.0625
1623,1421.9375
1624,1426.0625
1625,1394.1875
1626,1365.875
1627,1324.8125
1628,1280.125
1629,1236.25
1630,1226.4375
1631,1181.6875
1632,1104.6875
1633,1027.75
1634,898.6875
1635,937.3125
1636,1066.6875
1637,1179.5625
1638,1337.0625
1639,1392.5625
1640,1445.5625
1641,1454.75
1642,1402.25
1643,1349.9375
1644,1343.875
1645,1307.5
1646,1265.6875
1647,1206.5625
1648,1191.25
1649,1156.6875
1650,1120.125
1651,1082.375
1652,1025.125
1653,905.875
1654,805.6875
1655,923.5625
1656,975.3125
1657,1132.25
1658,1299.5625
1659,1406.3125
1660,1414.25
1661,1416.625
1662,1419.5625
1663,1356.125
1664,1321.875
1665,1272.5
1666,1227.0625
1667,1210.25
1668,1177.3125
1669,1102.4375
1670,1067.8125
1671,841.0625
1672,889.4375
1673,969.8125
1674,1107.875
1675,1282.9375
1676,1412.1875
1677,1461.25
1678,1421
1679,1422.8125
1680,1365.875
1681,1330.125
1682,1287.375
1683,1260.3125
1684,1202.0625
1685,1170.625
1686,1106.5
1687,1014.25
1688,895.9375
1689,904.4375
1690,1001.8125
1691,1149.0625
1692,1271.0625
1693,1365.875
1694,1409.125
1695,1448.3125
1696,1429.5625
1697,1354
1698,1336
1699,1287.5
1700,1281.0625
1701,1216.5625
1702,1192.4375
1703,1150.5625
1704,1094.6875
1705,1021.875
1706,930.75
1707,865.3125
1708,938.125
