Class,Larva,Num_Peaks,Num_RR_Intervals,Mean_RR_ms,Std_RR_ms,Min_RR_ms,Max_RR_ms
3_Propranolol 1 µM,Larva 32,1152,1151,260.3171155516942,13.160746891877723,225.0,300.0
3_Propranolol 1 µM,Larva 33,1157,1156,259.2128027681661,13.21513662771321,225.0,350.0
3_Propranolol 1 µM,Larva 34,1109,1108,270.3745487364621,19.104962835367296,175.0,450.0
3_Propranolol 1 µM,Larva 35,1058,1057,283.4673604541154,31.842165210220745,250.0,675.0
3_Propranolol 10 µM,Larva 01,1110,1109,270.10820559062216,17.061840931933087,225.0,400.0
3_Propranolol 10 µM,Larva 02,989,988,303.18825910931173,23.965583111878928,250.0,500.0
3_Propranolol 10 µM,Larva 03,790,789,379.3092522179975,29.337823911490226,350.0,775.0
3_Propranolol 10 µM,Larva 04,842,841,356.06420927467303,33.54895145185062,300.0,600.0
3_Propranolol 10 µM,Larva 05,860,859,348.80675203725264,17.58570964580135,325.0,475.0
3_Propranolol 10 µM,Larva 06,1097,1096,273.33485401459853,15.661686379000274,250.0,325.0
3_Propranolol 10 µM,Larva 07,945,944,317.16101694915255,21.04881144797953,275.0,475.0
3_Propranolol 10 µM,Larva 08,880,879,340.7849829351536,39.52013587622741,250.0,775.0
3_Propranolol 10 µM,Larva 09,892,891,336.0830527497194,14.357932618053253,300.0,400.0
3_Propranolol 10 µM,Larva 10,965,964,310.9180497925311,14.06536776876274,275.0,400.0
3_Propranolol 10 µM,Larva 11,939,938,319.50959488272923,28.473501945765225,150.0,525.0
3_Propranolol 10 µM,Larva 12,847,846,353.90070921985813,25.488783505757787,250.0,550.0
3_Propranolol 10 µM,Larva 13,866,865,346.32947976878614,15.070972684217653,300.0,500.0
3_Propranolol 10 µM,Larva 14,787,786,380.852417302799,25.20473117889602,325.0,475.0
3_Propranolol 10 µM,Larva 15,803,802,373.41022443890273,14.499034113482917,350.0,475.0
3_Propranolol 10 µM,Larva 16,703,702,426.1039886039886,35.850858541534436,150.0,675.0
3_Propranolol 10 µM,Larva 17,774,773,387.4514877102199,23.641058600079322,325.0,550.0
3_Propranolol 10 µM,Larva 18,802,801,373.84519350811485,26.607068325684594,300.0,950.0
3_Propranolol 10 µM,Larva 19,769,768,389.55078125,17.277982268327758,325.0,450.0
3_Propranolol 10 µM,Larva 20,876,875,342.2857142857143,22.30768148107787,175.0,475.0
3_Propranolol 10 µM,Larva 21,748,747,400.7697456492637,50.385825925077114,200.0,700.0
3_Propranolol 10 µM,Larva 22,760,759,394.92753623188406,19.050968821399373,350.0,475.0
3_Propranolol 10 µM,Larva 23,756,755,396.887417218543,33.851749844009916,200.0,600.0
3_Propranolol 10 µM,Larva 24,802,801,373.78277153558054,20.623496116539084,325.0,500.0
3_Propranolol 10 µM,Larva 25,882,881,340.1532349602724,21.246734763633444,300.0,525.0
3_Propranolol 10 µM,Larva 26,844,843,355.54567022538555,17.46710148473303,325.0,450.0
3_Propranolol 10 µM,Larva 27,827,826,362.7118644067797,24.915727787827326,300.0,525.0
3_Propranolol 10 µM,Larva 28,921,920,325.54347826086956,19.038812213748972,300.0,525.0
3_Propranolol 10 µM,Larva 29,859,858,349.12587412587413,20.250310239483852,300.0,500.0
3_Propranolol 100 µM,Larva 01 - 01.04.25,666,665,450.1127819548872,67.84121821763821,200.0,1200.0
3_Propranolol 100 µM,Larva 02 - 01.04.25,718,717,417.64295676429566,41.61684491809493,225.0,775.0
3_Propranolol 100 µM,Larva 03 - 01.04.25,808,807,371.0656753407683,25.49105145139796,275.0,650.0
3_Propranolol 100 µM,Larva 04 - 01.04.25,807,806,371.8672456575682,16.00499283471893,150.0,450.0
3_Propranolol 100 µM,Larva 05 - 01.04.25,636,635,471.0236220472441,35.00471612026444,375.0,775.0
3_Propranolol 100 µM,Larva 06 - 01.04.25,672,671,446.34873323397915,37.29997615544938,375.0,800.0
3_Propranolol 100 µM,Larva 07 - 01.04.25,727,726,412.56887052341597,39.68599298518497,350.0,675.0
3_Propranolol 100 µM,Larva 08 - 01.04.25,657,656,456.0213414634146,40.40978549873947,400.0,700.0
3_Propranolol 100 µM,Larva 09 - 01.04.25,644,643,465.5909797822706,80.83761950567846,150.0,800.0
3_Propranolol 100 µM,Larva 10 - 01.04.25,562,561,532.7540106951872,81.84067881263726,175.0,1025.0
3_Propranolol 100 µM,Larva 11 - 01.04.25,626,625,478.68,56.57258700112626,350.0,1050.0
3_Propranolol 100 µM,Larva 12 - 01.04.25,572,571,523.9492119089317,62.519622518888475,375.0,950.0
3_Propranolol 100 µM,Larva 13 - 01.04.25,694,693,431.96248196248195,35.24355629766283,375.0,650.0
3_Propranolol 100 µM,Larva 14 - 06.04.25,746,745,401.67785234899327,42.23857908562775,350.0,825.0
3_Propranolol 100 µM,Larva 15 - 06.04.25,626,625,478.76,50.39704753256881,225.0,875.0
3_Propranolol 100 µM,Larva 16 - 06.04.25,718,717,417.6080892608089,50.32423287384228,350.0,700.0
3_Propranolol 100 µM,Larva 17 - 06.04.25,686,685,437.66423357664235,26.76643430557184,375.0,650.0
3_Propranolol 100 µM,Larva 18 - 06.04.25,670,669,447.6831091180867,48.465370176316675,400.0,725.0
3_Propranolol 100 µM,Larva 19 - 06.04.25,702,701,427.0684736091298,28.72096842874003,300.0,625.0
3_Propranolol 100 µM,Larva 20 - 06.04.25,673,672,445.4985119047619,30.54582814122399,400.0,975.0
3_Propranolol 100 µM,Larva 21 - 06.04.25,503,502,595.0697211155378,102.0182055442656,325.0,1150.0
3_Propranolol 100 µM,Larva 22 - 06.04.25,609,608,492.3519736842105,98.52478212852334,250.0,1250.0
3_Propranolol 100 µM,Larva 23 - 06.04.25,505,504,593.6011904761905,130.97799735922658,400.0,1475.0
3_Propranolol 100 µM,Larva 24 - 06.04.25,664,663,452.14932126696834,70.91103147542597,175.0,975.0
3_Propranolol 100 µM,Larva 25 - 06.04.25,821,820,365.3658536585366,15.622850833753297,325.0,400.0
3_Propranolol 100 µM,Larva 26 - 06.04.25,724,723,414.10788381742736,31.608549385837975,175.0,575.0
3_Propranolol 100 µM,Larva 27 - 06.04.25,677,676,443.2692307692308,49.76832421002898,350.0,700.0
4_Carbachol 1 µM,Larva 01,1054,1053,284.59164292497627,18.760863429917883,250.0,375.0
4_Carbachol 1 µM,Larva 02,1094,1093,274.29094236047575,14.547945162258145,200.0,325.0
4_Carbachol 1 µM,Larva 03,1021,1020,293.52941176470586,16.26358007662769,250.0,375.0
